"participant_id","KM","HC","GMM"
"219904247",1,1,1
"219904251",2,1,1
"219904252",3,1,1
"219904255",2,1,1
"219904259",4,1,1
"219904260",3,1,1
"219904280",3,1,1
"219904281",2,1,1
"219904283",1,1,1
"219904286",1,1,1
"219904287",2,1,1
"219904288",3,1,1
"219904311",1,1,1
"219904312",4,1,1
"219904314",3,1,1
"219904315",2,1,1
"219904317",3,1,1
"219904321",2,1,1
"219904460",2,1,1
"219904465",3,1,1
"219904467",3,1,1
"219904715",4,1,1
"219904784",2,1,1
"219906682",3,1,1
"219906685",2,1,1
"219906686",2,1,1
"219906752",1,1,1
"219907375",1,1,1
"219907377",2,1,1
"219907384",3,1,1
"219907400",1,1,1
"219907409",3,1,1
"219907415",3,1,1
"219907434",2,1,1
"219907460",4,1,1
"219907463",2,1,1
"219907468",2,1,1
"219907471",3,1,1
"219907472",3,1,1
"219907479",3,1,1
"219907494",4,1,1
"219907562",3,1,1
"219907571",3,1,1
"219907572",1,1,1
"219907593",1,1,1
"219907596",2,1,1
"219907597",4,1,1
"219907613",3,1,1
"219907618",2,1,1
"219907621",2,1,1
"219907632",2,1,1
"219907642",1,1,1
"219909358",3,1,1
"219909370",3,1,1
"219909407",3,1,1
"219909451",2,1,1
"219909510",3,1,1
"219909565",3,1,1
"219909620",2,1,1
"219909667",2,1,1
"219909703",1,1,1
"219910489",2,1,1
"219910631",1,1,1
"219910773",1,1,1
"219910956",1,1,1
"219911086",1,1,1
"219911209",2,1,1
"219911299",2,1,1
"219911441",4,1,1
"219911569",1,1,1
"219911671",1,1,1
"219911785",3,1,1
"219911880",3,1,1
"219912016",4,1,1
"219912127",1,1,1
"219912233",2,1,1
"219912324",4,1,1
